Label,历时,平均功率,平均踏频,平均扭矩,平均心率,最大心率,平均坡度,强度,区间
,27,204,75,26,130,134,4%,107%,5
,11,298,101,28,120,124,3.5%,156%,7
,43,217,80,26,138,143,7%,114%,5
,69,216,87,24,139,150,7%,113%,5
,37,201,89,22,153,155,6.6%,105%,5
,76,225,72,30,158,163,9.3%,118%,5
,201,208,71,28,162,167,8.6%,109%,5
,49,213,68,31,160,165,8.4%,112%,5
,87,178,87,20,162,163,4.8%,93%,4
,35,208,76,27,161,162,8.1%,109%,5
,31,204,81,24,140,142,2%,107%,5
,67,217,96,22,148,157,5.1%,114%,5
,51,200,85,23,164,167,6.2%,105%,5
,17,354,101,34,139,146,9%,186%,7
,40,232,73,31,156,159,9.3%,122%,6
,35,200,81,24,162,163,6.7%,105%,5
,89,197,68,28,159,162,8.6%,103%,4
,83,185,65,28,147,152,8.2%,97%,4
,41,208,90,22,140,147,2.8%,109%,5
,40,204,83,23,152,158,-0.2%,107%,5
,31,215,74,29,158,161,7.1%,113%,5
,48,216,83,25,132,143,7.4%,113%,5
,173,170,87,19,161,164,3.5%,89%,3
,86,175,58,29,165,168,8.9%,92%,4
,28,213,40,51,166,171,14.9%,112%,5
,46,203,48,41,168,171,12.1%,106%,5
,30,208,47,43,172,176,14.1%,109%,5
,123,215,47,43,168,177,14.2%,113%,5
,156,179,54,32,164,167,10%,94%,4
,38,213,55,39,157,163,11.6%,112%,5
,238,168,59,28,162,167,8.5%,88%,3
