time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,moving,grade_smooth,temp,torque
0,0,45,89,0.0,308.6,24.191803,120.59424,0.0,false,-9.5,19,0
1,25,45,89,0.0,308.6,24.191803,120.59424,0.0,false,-4.7,19,5
2,12,46,89,0.0,308.4,24.191803,120.59424,0.0,false,-6.3,19,2
3,12,33,89,2.1,308.4,24.191803,120.59424,0.7,true,-1.9,19,3
4,16,0,89,4.3,308.4,24.191803,120.59424,1.075,true,0.0,19,0
5,53,32,89,6.4,308.2,24.191803,120.59424,1.28,true,0.0,19,16
6,53,54,90,10.7,308.4,24.191803,120.59424,2.14,true,3.8,19,9
7,45,54,89,10.7,308.4,24.191803,120.59424,2.14,false,1.6,19,8
8,45,55,88,12.8,308.4,24.191803,120.59424,2.14,true,0.0,19,8
9,45,55,88,14.9,308.8,24.191803,120.59424,2.12,true,0.0,19,8
10,62,54,88,19.2,308.4,24.191803,120.59424,2.56,true,0.0,19,11
11,62,54,88,21.4,308.4,24.191803,120.59424,2.14,true,0.0,19,11
12,64,57,87,23.5,308.4,24.191803,120.59424,2.56,true,1.9,19,11
13,75,57,87,25.6,308.8,24.191803,120.59424,2.56,true,1.9,19,13
14,59,73,87,29.9,308.6,24.191803,120.59424,3.0,true,1.6,19,8
15,47,75,86,32.0,308.6,24.191803,120.59424,2.56,true,-1.6,19,6
16,47,84,86,36.3,308.6,24.191803,120.59424,2.98,true,-3.1,19,5
17,0,84,85,38.4,308.6,24.191803,120.59424,2.98,true,-2.7,19,0
18,0,0,85,42.7,308.2,24.191803,120.59424,3.42,true,-3.1,19,0
19,0,0,86,47.0,308.2,24.191803,120.59424,3.42,true,-4.0,19,0
20,0,0,86,49.1,308.2,24.191803,120.59424,3.42,true,-2.7,19,0
21,104,0,86,53.4,308.0,24.191803,120.59424,3.42,true,-3.1,19,0
22,75,61,86,57.7,307.8,24.191803,120.59424,3.86,true,-3.1,19,12
23,105,60,87,59.8,307.8,24.191803,120.59424,3.42,true,-1.9,19,17
24,123,60,87,61.9,307.8,24.191803,120.59424,2.98,true,1.6,19,20
25,101,63,87,64.1,307.8,24.191803,120.59424,3.0,true,1.9,19,15
26,97,64,87,66.2,308.0,24.191803,120.59424,2.56,true,1.9,19,14
27,117,71,88,70.5,308.0,24.191803,120.59424,2.56,true,1.6,19,16
28,138,72,88,72.6,308.0,24.191803,120.59424,2.56,true,1.4,19,18
29,136,73,88,76.9,308.0,24.191803,120.59424,3.0,true,1.6,19,18
30,166,74,89,80.1,308.2,24.191803,120.59424,3.2,true,1.6,19,21
31,166,72,89,83.3,308.2,24.191803,120.59424,3.42,true,11.2,19,22
32,123,63,90,85.4,308.2,24.191803,120.59424,2.98,true,8.5,19,19
33,123,65,91,87.6,309.2,24.191803,120.59424,3.0,true,9.3,19,18
34,206,64,92,91.8,309.2,24.191803,120.59424,2.98,true,9.3,19,31
35,166,72,93,94.0,309.2,24.191803,120.59424,2.78,true,0.0,19,22
36,156,72,93,96.1,309.2,24.191803,120.59424,2.56,true,5.6,19,21
37,103,76,95,98.3,309.2,24.191803,120.59424,2.58,true,4.7,19,13
38,103,80,95,102.5,309.8,24.191803,120.59424,2.98,true,4.7,19,12
39,91,82,96,106.8,309.8,24.191803,120.59424,3.0,true,3.5,19,11
40,89,84,96,108.9,309.8,24.191803,120.59424,2.98,true,0.0,19,10
41,90,92,96,115.3,309.8,24.191803,120.59424,3.84,true,0.0,19,9
42,75,93,96,117.5,309.8,24.191803,120.59424,3.84,true,0.0,19,8
43,63,92,96,121.8,309.8,24.191803,120.59424,3.86,true,0.0,19,7
44,63,93,97,123.9,309.8,24.191803,120.59424,3.42,true,0.0,19,6
45,0,93,97,126.0,309.8,24.191803,120.59424,3.42,true,0.0,19,0
46,0,0,97,130.3,309.8,24.191803,120.59424,3.0,true,0.0,19,0
47,0,0,97,134.6,309.8,24.191803,120.59424,3.42,true,0.0,19,0
48,0,0,97,136.7,309.8,24.191803,120.59424,2.98,true,1.9,19,0
49,0,0,97,141.0,309.8,24.191803,120.59424,3.42,true,0.0,19,0
50,0,0,97,141.0,310.0,24.191803,120.59424,3.0,false,0.0,19,0
51,0,0,96,141.0,310.0,24.191803,120.59424,2.14,false,0.0,19,0
66,130,69,96,141.0,309.8,24.191803,120.59424,0.0,false,7.1,19,18
67,110,69,98,143.1,309.8,24.191803,120.59424,0.131,true,5.7,19,15
68,134,81,100,145.2,309.8,24.191858,120.59427,0.247,true,3.8,19,16
69,183,81,100,147.4,309.8,24.191889,120.594284,0.356,true,4.0,19,22
70,165,83,101,149.5,310.4,24.191917,120.59429,0.447,true,4.7,19,19
71,164,82,101,151.6,310.4,24.191946,120.59431,2.12,true,4.0,19,19
72,176,83,101,158.1,310.4,24.191975,120.59432,3.0,true,2.7,19,20
73,169,84,101,162.3,310.4,24.192005,120.59434,3.42,true,2.3,19,19
74,170,85,101,164.5,310.8,24.192036,120.59435,3.42,true,3.1,19,19
75,137,85,101,168.7,310.8,24.192064,120.59436,3.84,true,3.1,19,15
76,126,85,101,170.9,310.8,24.192091,120.594376,3.86,true,2.7,19,14
77,124,84,100,175.1,310.8,24.192122,120.59439,3.4,true,3.1,19,14
78,129,82,99,179.4,311.2,24.192148,120.59441,3.42,true,2.7,19,15
79,159,81,99,181.6,311.2,24.192179,120.59442,3.42,true,7.2,19,19
80,159,82,98,185.8,311.2,24.192207,120.59444,3.42,true,6.3,19,19
81,118,85,98,189.0,311.8,24.192255,120.59446,3.62,true,5.4,19,13
82,118,87,98,192.2,312.0,24.19227,120.59447,3.42,true,5.3,19,13
83,110,87,98,196.5,312.0,24.192303,120.59448,3.42,true,1.2,19,12
84,118,91,99,200.8,312.0,24.192335,120.5945,3.84,true,-1.2,19,12
85,117,91,99,205.1,312.0,24.192366,120.59451,3.86,true,-1.2,19,12
86,130,92,100,209.3,311.8,24.1924,120.59453,4.06,true,-1.3,19,13
87,143,91,100,213.6,311.8,24.19243,120.594536,4.28,true,3.1,19,15
88,127,89,100,215.7,311.8,24.19246,120.59456,3.84,true,7.8,19,14
89,123,89,101,217.9,312.4,24.192493,120.59457,3.42,true,6.7,19,13
90,122,89,101,222.1,312.8,24.192526,120.59458,3.4,true,5.8,19,13
91,112,91,102,228.6,312.8,24.192556,120.594604,3.86,true,2.2,19,12
92,112,94,102,232.8,312.8,24.192589,120.59462,3.84,true,2.3,19,11
93,101,94,103,236.0,312.8,24.192636,120.59464,4.06,true,2.7,19,10
94,117,94,103,239.2,313.2,24.192652,120.59466,4.26,true,2.3,19,12
95,106,94,104,243.5,313.2,24.192682,120.59467,4.28,true,2.2,19,11
96,106,93,104,249.9,313.2,24.192713,120.59469,4.26,true,0.0,19,11
97,114,93,105,254.2,313.2,24.192745,120.5947,4.28,true,0.0,18,12
98,90,94,105,258.5,313.2,24.19278,120.59472,4.5,true,0.0,18,9
99,92,94,105,260.6,313.2,24.192814,120.594734,4.28,true,0.0,18,9
100,126,93,106,262.7,313.2,24.192844,120.59475,3.84,true,1.3,18,13
101,126,93,106,267.0,313.2,24.19288,120.594765,3.42,true,1.2,18,13
102,103,93,106,273.4,313.4,24.192913,120.59477,3.84,true,1.0,18,11
103,117,93,107,277.7,313.4,24.192945,120.59479,3.84,true,2.3,18,12
104,121,93,106,282.0,313.4,24.19298,120.5948,4.28,true,1.6,18,12
105,106,94,107,284.1,313.6,24.193014,120.59481,4.28,true,1.3,18,11
106,96,95,107,286.2,313.6,24.193048,120.594826,3.84,true,1.3,18,10
107,114,95,107,292.6,313.6,24.193085,120.59484,3.84,true,2.7,18,11
108,97,96,107,296.9,313.6,24.193085,120.59484,3.84,true,4.7,18,10
109,79,95,107,299.0,314.0,24.193155,120.594864,3.4,true,5.3,18,8
110,88,94,107,303.3,314.4,24.19319,120.59487,3.84,true,4.7,18,9
111,80,93,107,307.6,314.4,24.193224,120.59489,4.28,true,1.2,18,8
112,81,93,107,314.0,314.4,24.193258,120.594894,4.28,true,0.0,18,8
113,85,92,107,316.1,314.2,24.193293,120.5949,3.84,true,0.0,18,9
114,90,91,107,320.4,314.4,24.193329,120.5949,4.28,true,0.0,18,9
115,98,90,107,322.5,314.4,24.19336,120.59491,3.84,true,3.5,18,10
