time,watts,cadence,heartrate,altitude,velocity_smooth,moving,grade_smooth,temp,torque
0,0,23,103,350.0,0.0,true,0.0,22,0
1,30,23,103,350.0,0.0,true,0.0,22,12
2,30,23,99,350.2,0.0,true,0.0,22,12
3,40,23,91,350.6,0.0,true,0.0,22,17
4,40,24,87,350.6,0.0,true,0.0,22,16
5,0,24,86,350.6,0.0,true,0.0,22,0
6,48,0,86,350.4,0.0,true,0.0,22,0
7,48,25,87,350.2,0.0,true,0.0,22,18
8,48,26,87,350.2,0.0,true,0.0,22,18
9,48,26,87,350.2,0.0,true,0.0,22,18
10,54,27,91,350.2,0.0,true,0.0,22,19
11,54,27,87,350.2,0.0,true,0.0,22,19
12,59,29,87,350.2,0.0,true,0.0,22,19
13,59,29,87,350.2,0.0,true,0.0,22,19
14,54,29,86,350.0,0.0,true,0.0,22,18
15,54,30,86,350.2,0.0,true,0.0,22,17
16,47,30,85,350.2,0.0,true,0.0,22,15
17,47,30,85,350.2,0.0,true,0.0,22,15
18,40,30,85,350.2,0.0,true,0.0,22,13
19,40,28,83,350.2,0.0,true,0.0,22,14
20,0,0,83,350.2,0.0,true,0.0,22,0
21,38,27,84,350.2,0.0,true,0.0,22,13
22,38,27,87,350.0,0.0,true,0.0,22,13
23,44,27,89,350.0,0.0,true,0.0,22,16
24,0,27,93,350.0,0.0,true,0.0,22,0
25,37,0,94,350.0,0.0,true,0.0,22,0
26,37,26,94,350.0,0.0,true,0.0,22,14
27,38,26,95,350.2,0.0,true,0.0,22,14
28,38,26,101,350.2,0.0,true,0.0,22,14
29,45,26,103,350.2,0.0,true,0.0,22,17
30,45,27,104,349.8,0.0,true,0.0,22,16
31,54,27,103,350.0,0.0,true,0.0,22,19
32,54,29,103,350.0,0.0,true,0.0,22,18
33,54,29,103,350.0,0.0,true,0.0,22,18
34,45,29,100,350.2,0.0,true,0.0,22,15
35,45,29,100,350.2,0.0,true,0.0,22,15
36,45,29,102,350.2,0.0,true,0.0,22,15
37,0,29,104,350.2,0.0,true,0.0,22,0
38,0,0,104,350.2,0.0,true,0.0,22,0
39,0,0,104,350.2,0.0,true,0.0,22,0
40,0,0,104,350.2,0.0,true,0.0,22,0
41,0,0,105,350.2,0.0,true,0.0,22,0
42,0,0,105,350.2,0.0,true,0.0,22,0
43,0,0,109,350.0,0.0,true,0.0,22,0
44,0,0,109,350.0,0.0,true,0.0,22,0
45,0,0,109,350.0,0.0,true,0.0,22,0
46,0,0,111,350.0,0.0,true,0.0,22,0
47,0,0,115,350.2,0.0,true,0.0,22,0
48,0,0,115,350.2,0.0,true,0.0,22,0
49,0,0,115,350.2,0.0,true,0.0,22,0
50,0,0,116,350.0,0.0,true,0.0,22,0
51,0,0,116,350.0,0.0,true,0.0,22,0
52,0,0,116,350.0,0.0,true,0.0,22,0
53,0,0,117,350.0,0.0,true,0.0,22,0
54,0,0,117,350.4,0.0,true,0.0,22,0
55,0,0,117,350.0,0.0,true,0.0,22,0
56,0,0,117,350.0,0.0,true,0.0,22,0
57,0,0,119,350.0,0.0,true,0.0,22,0
58,0,0,124,350.2,0.0,true,0.0,22,0
59,0,0,123,349.8,0.0,true,0.0,22,0
60,0,0,122,349.8,0.0,true,0.0,22,0
61,0,0,122,349.8,0.0,true,0.0,22,0
62,0,0,122,350.0,0.0,true,0.0,22,0
63,0,0,113,350.2,0.0,true,0.0,22,0
64,0,0,113,350.2,0.0,true,0.0,22,0
65,0,0,110,350.2,0.0,true,0.0,22,0
66,0,0,106,350.2,0.0,true,0.0,22,0
67,0,0,98,350.2,0.0,true,0.0,22,0
68,0,0,94,350.2,0.0,true,0.0,22,0
69,0,0,95,350.2,0.0,true,0.0,22,0
70,0,0,101,350.2,0.0,true,0.0,22,0
71,0,0,101,350.4,0.0,true,0.0,22,0
72,0,0,101,350.4,0.0,true,0.0,22,0
73,0,0,101,350.4,0.0,true,0.0,22,0
74,0,0,101,350.2,0.0,true,0.0,22,0
75,34,0,103,350.2,0.0,true,0.0,22,0
76,34,22,100,350.2,0.0,true,0.0,22,15
77,0,22,103,350.2,0.0,true,0.0,22,0
78,31,0,106,350.2,0.0,true,0.0,22,0
79,31,23,106,350.2,0.0,true,0.0,22,13
80,27,23,106,350.2,0.0,true,0.0,22,11
81,27,22,103,350.2,0.0,true,0.0,22,12
82,0,22,105,350.2,0.0,true,0.0,22,0
83,33,0,105,349.8,0.0,true,0.0,22,0
84,33,22,103,349.8,0.0,true,0.0,22,14
85,0,22,100,349.8,0.0,true,0.0,22,0
86,33,0,100,350.0,0.0,true,0.0,22,0
87,33,23,96,350.2,0.0,true,0.0,22,14
88,0,23,93,350.2,0.0,true,0.0,22,0
89,25,22,93,350.2,0.0,true,0.0,22,11
90,25,22,94,350.2,0.0,true,0.0,22,11
91,0,22,97,350.0,0.0,true,0.0,22,0
92,0,0,97,350.0,0.0,true,0.0,22,0
93,0,0,97,350.0,0.0,true,0.0,22,0
