time,watts,cadence,heartrate,altitude,velocity_smooth,moving,grade_smooth,temp,torque
0,57,44,125,342.4,0.0,true,0.0,21,12
1,60,44,125,342.4,0.0,true,0.0,21,13
2,60,44,125,342.4,0.0,true,0.0,21,13
3,72,45,125,342.0,0.0,true,0.0,21,15
4,58,46,127,342.2,0.0,true,0.0,21,12
5,74,46,128,342.2,0.0,true,0.0,21,15
6,75,48,131,342.2,0.0,true,0.0,21,15
7,75,48,135,342.2,0.0,true,0.0,21,15
8,76,49,135,342.2,0.0,true,0.0,21,15
9,81,50,135,342.2,0.0,true,0.0,21,15
10,80,51,138,342.2,0.0,true,0.0,21,15
11,76,52,138,342.2,0.0,true,0.0,21,14
12,75,52,142,342.2,0.0,true,0.0,21,14
13,79,52,142,342.2,0.0,true,0.0,21,15
14,79,52,142,342.2,0.0,true,0.0,21,15
15,66,51,143,342.2,0.0,true,0.0,21,12
16,57,50,143,342.4,0.0,true,0.0,21,11
17,60,48,143,342.4,0.0,true,0.0,21,12
18,59,48,143,342.4,0.0,true,0.0,21,12
19,59,48,143,342.2,0.0,true,0.0,21,12
20,48,46,145,342.2,0.0,true,0.0,21,10
21,53,44,145,342.2,0.0,true,0.0,21,12
22,46,44,145,342.2,0.0,true,0.0,21,10
23,46,43,145,342.2,0.0,true,0.0,21,10
24,57,43,145,342.0,0.0,true,0.0,21,13
25,53,43,140,342.0,0.0,true,0.0,21,12
26,53,43,133,342.0,0.0,true,0.0,21,12
27,66,44,133,342.0,0.0,true,0.0,21,14
28,69,45,132,342.2,0.0,true,0.0,21,15
29,66,47,132,342.2,0.0,true,0.0,21,13
30,66,47,123,342.2,0.0,true,0.0,21,13
31,66,47,118,342.2,0.0,true,0.0,21,13
32,69,48,113,342.4,0.0,true,0.0,21,14
33,63,48,104,342.4,0.0,true,0.0,21,13
34,70,48,95,342.4,0.0,true,0.0,21,14
35,70,48,93,342.4,0.0,true,0.0,21,14
36,70,49,93,342.0,0.0,true,0.0,21,14
37,66,49,93,342.0,0.0,true,0.0,21,13
38,66,49,95,342.0,0.0,true,0.0,21,13
39,71,49,95,342.0,0.0,true,0.0,21,14
40,71,49,95,342.0,0.0,true,0.0,21,14
41,65,49,95,342.0,0.0,true,0.0,21,13
42,65,49,95,342.0,0.0,true,0.0,21,13
43,75,49,95,342.0,0.0,true,0.0,21,15
44,77,50,95,342.2,0.0,true,0.0,21,15
45,70,51,94,342.2,0.0,true,0.0,21,13
46,74,51,94,342.2,0.0,true,0.0,21,14
47,74,51,94,342.2,0.0,true,0.0,21,14
48,69,52,94,342.4,0.0,true,0.0,21,13
49,69,51,95,342.4,0.0,true,0.0,21,13
50,68,51,95,342.4,0.0,true,0.0,21,13
51,72,50,96,342.4,0.0,true,0.0,21,14
52,74,51,96,342.6,0.0,true,0.0,21,14
53,78,52,97,342.6,0.0,true,0.0,21,14
54,87,53,99,342.6,0.0,true,0.0,21,16
55,81,53,100,342.6,0.0,true,0.0,21,15
56,81,54,101,342.8,0.0,true,0.0,21,14
57,82,54,101,342.8,0.0,true,0.0,21,15
58,82,55,100,342.8,0.0,true,0.0,21,14
59,79,55,100,342.6,0.0,true,0.0,21,14
60,74,55,99,342.8,0.0,true,0.0,21,13
61,78,54,99,342.8,0.0,true,0.0,21,14
62,79,54,99,342.8,0.0,true,0.0,21,14
63,86,56,99,342.8,0.0,true,0.0,21,15
64,122,56,99,342.6,0.0,true,0.0,21,21
65,137,58,99,342.6,0.0,true,0.0,21,23
66,143,65,100,342.6,0.0,true,0.0,21,21
67,113,64,100,342.6,0.0,true,0.0,21,17
68,98,57,100,342.6,0.0,true,0.0,21,16
69,98,57,101,342.6,0.0,true,0.0,21,16
70,93,56,101,342.6,0.0,true,0.0,21,16
71,115,56,101,343.0,0.0,true,0.0,21,20
72,102,57,102,342.8,0.0,true,0.0,21,17
73,114,57,102,342.8,0.0,true,0.0,21,19
74,98,57,102,342.8,0.0,true,0.0,21,16
75,83,56,103,342.8,0.0,true,0.0,21,14
76,83,56,103,342.6,0.0,true,0.0,21,14
77,73,48,103,342.6,0.0,true,0.0,21,15
78,97,49,103,342.6,0.0,true,0.0,21,19
79,98,51,102,342.6,0.0,true,0.0,21,18
80,92,53,102,343.0,0.0,true,0.0,21,17
81,100,53,101,343.0,0.0,true,0.0,21,18
82,102,54,100,343.0,0.0,true,0.0,21,18
83,91,53,100,343.0,0.0,true,0.0,21,16
84,91,53,100,342.6,0.0,true,0.0,21,16
85,119,55,102,342.6,0.0,true,0.0,21,21
86,150,65,102,342.6,0.0,true,0.0,21,22
87,148,67,102,342.6,0.0,true,0.0,21,21
